P31946	GeneID	7529
P62258	GeneID	7531
Q04917	GeneID	7533
P61981	GeneID	7532
P31947	GeneID	2810
P27348	GeneID	10971
P63104	GeneID	7534
Q96QU6	GeneID	84680
Q4AC99	GeneID	390110
Q15172	GeneID	5525
Q15173	GeneID	5526
Q14738	GeneID	5528
Q16537	GeneID	5529
Q13362	GeneID	5527
P30153	GeneID	5518
P30154	GeneID	5519
P63151	GeneID	5520
Q00005	GeneID	5521
Q66LE6	GeneID	55844
Q9Y2T4	GeneID	5522
P14060	GeneID	3283
P26439	GeneID	3284
Q9H2F3	GeneID	80270
Q9Y3L3	GeneID	23616
P78314	GeneID	6452
Q7L8J4	GeneID	80851
O60239	GeneID	9467
P46952	GeneID	23498
P31937	GeneID	11112
P29372	GeneID	4350
Q13541	GeneID	1978
Q13542	GeneID	1979
O60516	GeneID	8637
Q9NRA8	GeneID	56478
P08195	GeneID	6520
P08908	GeneID	3350
P28222	GeneID	3351
P28221	GeneID	3352
P28566	GeneID	3354
P30939	GeneID	3355
P28223	GeneID	3356
P41595	GeneID	3357
P28335	GeneID	3358
P46098	GeneID	3359
O95264	GeneID	9177
Q8WXA8	GeneID	170572
Q70Z44	GeneID	200909
A5X5Y0	GeneID	285242
Q13639	GeneID	3360
P47898	GeneID	3361
P50406	GeneID	3362
P34969	GeneID	3363
Q9Y6E2	GeneID	28969
Q7L1Q6	GeneID	9689
Q9BXI3	GeneID	84618
Q96P26	GeneID	100526794
Q96P26	GeneID	93034
Q9H0P0	GeneID	51251
Q969T7	GeneID	115024
P49902	GeneID	22978
P21589	GeneID	4907
P52209	GeneID	5226
O95336	GeneID	25796
P05408	GeneID	6447
P36639	GeneID	4521
P0DKL9	GeneID	644100
Q8IZ83	GeneID	126133
Q676U5	GeneID	55054
Q8NAA4	GeneID	89849
P02763	GeneID	5004
P19652	GeneID	5005
P20848	GeneID	390502
P01009	GeneID	5265
P04217	GeneID	1
Q9NQ94	GeneID	29974
Q5TYW2	GeneID	84210
P08697	GeneID	5345
P02750	GeneID	116844
P01023	GeneID	2
A8K2U0	GeneID	144568
A7E2S9	GeneID	554226
U3KPV4	GeneID	127550
Q9NPC4	GeneID	53947
Q9UNA3	GeneID	51146
P05067	GeneID	351
Q96GX2	GeneID	552889
P30542	GeneID	134
P29274	GeneID	135
P29275	GeneID	136
P0DMS8	GeneID	140
Q9NS82	GeneID	56301
P22760	GeneID	13
Q9NRG9	GeneID	8086
Q15758	GeneID	6510
Q86V21	GeneID	65985
P01011	GeneID	12
Q8N5Z0	GeneID	51166
Q6PD74	GeneID	79719
Q2M2I8	GeneID	22848
Q9Y478	GeneID	5564
O43741	GeneID	5565
P54619	GeneID	5571
Q9UGJ0	GeneID	51422
Q9UGI9	GeneID	53632
